"Area / Date","Production Type","Code","Name","Intalled Capacity at the beginning of year [MW]","Current Installed Capacity [MW]","Location","Voltage Connection Level [kV]","Commissioning Date","Decommissioning Date"
"BZN|IT-Centre-South / 01.01.2021 00:00 - 01.01.2022 00:00","Wind Onshore","26WIMPI-07568042","Arlena Eolico","10","10","012056002","150","31.08.2018",""
"BZN|IT-Centre-South / 01.01.2021 00:00 - 01.01.2022 00:00","Hydro Run-of-river and poundage","26WIMPI-S12PNTM4","PONTEFIUME","9","9","012060064","20","31.12.2014",""
"BZN|IT-Centre-South / 01.01.2021 00:00 - 01.01.2022 00:00","Hydro Run-of-river and poundage","26WIMPI-S15PACND","PONTE ANNIBALE","8","8","015061015","20","31.12.2014",""
"BZN|IT-Centre-South / 01.01.2021 00:00 - 01.01.2022 00:00","Hydro Run-of-river and poundage","26WIMPI-S12SCLLM","SCALELLE","8","8","012058103","150","31.12.2014",""
"BZN|IT-Centre-South / 01.01.2021 00:00 - 01.01.2022 00:00","Hydro Run-of-river and poundage","26WIMPI-S12ACCSE","CASTEL MADAMA","8","8","012058023","150","31.12.2014",""
"BZN|IT-Centre-South / 01.01.2021 00:00 - 01.01.2022 00:00","Hydro Run-of-river and poundage","26WIMPI-S15SUIO9","SUIO","8","8","015061088","150","31.12.2014",""
"BZN|IT-Centre-South / 01.01.2021 00:00 - 01.01.2022 00:00","Hydro Run-of-river and poundage","26WIMPI-S12CMNC0","COMUNACQUA","8","8","012060080","150","31.12.2014",""
"BZN|IT-Centre-South / 01.01.2021 00:00 - 01.01.2022 00:00","Hydro Run-of-river and poundage","26WIMPI-S13A1VN5","AVENTINO 1","8","8","013069089","20","31.12.2014",""
"BZN|IT-Centre-South / 01.01.2021 00:00 - 01.01.2022 00:00","Hydro Run-of-river and poundage","26WIMPI-S12FIRAU","FARFA II","6","6","012058106","20","31.12.2014",""
"BZN|IT-Centre-South / 01.01.2021 00:00 - 01.01.2022 00:00","Hydro Run-of-river and poundage","26WIMPI-S12GFRR3","MANDELA","5","5","012058094","150","31.12.2014",""
"BZN|IT-Centre-South / 01.01.2021 00:00 - 01.01.2022 00:00","Fossil Gas","26WIMPI-0817510V","CASSINO-META","41","N/A","012060052","150","13.02.2015","01.04.2022"
"BZN|IT-Centre-South / 01.01.2021 00:00 - 01.01.2022 00:00","Hydro Water Reservoir","26WIMYI-S15M2TSB","MATESE 2S","18","N/A","015061057","150","31.12.2014","01.03.2022"
"BZN|IT-Centre-South / 01.01.2021 00:00 - 01.01.2022 00:00","Hydro Water Reservoir","26WIMPI-S15M1TS3","MATESE 1S","16","N/A","015061057","150","31.12.2014","01.03.2022"
